"","AXP","IBM","KO","MCO","WFC","DVA","PG","USB","WMT"
"2009-11-30",0.172365512550421,0.0527293942316871,0.0723463359978571,0.00989788086374976,0.0174078617634639,0.101934602006496,0.057675952704809,0.0121643941420064,0.0849244280778547
"2009-12-31",-0.0313172682026893,0.0360110462034255,-0.00349651401174389,0.153680545660987,-0.0374465294262236,-0.00844024279404987,-0.0275861532964926,-0.0650558504265784,-0.0152238727459009
"2010-01-29",-0.0665326811277978,-0.0650114158352743,-0.0482456234109074,0.0294776606577216,0.0533531153877667,0.0173645891261631,0.0224630245159188,0.114171453168051,-0.000374192338298163
"2010-02-26",0.0140732435444073,0.0436207825376829,-0.028202711641668,-0.0314240983448627,-0.0366667370115678,0.0309571964845112,0.0281072311739041,-0.0187400027788374,0.0119782890247846
"2010-03-31",0.0850962011157708,0.00857184772728004,0.0517857801590618,0.11758071178669,0.138258973377746,0.0290537575068983,-0.000157998557023586,0.0536272712583448,0.0340926102513768
"2010-04-30",0.117789647437316,0.00584795373218894,-0.0281818151657296,-0.169075651328294,0.0639460249186707,-0.0152997156056872,-0.00998265685655308,0.0343895482403316,-0.0352517703663732
"2010-05-28",-0.135516054491702,-0.0240151189935699,-0.0383535672386174,-0.166653472894644,-0.132177129440406,0.0160179400929041,-0.017213630944483,-0.1049682831359,-0.0519440396295445
"2010-06-30",0.000227141242710394,-0.0142104270560444,-0.0166534945413366,-0.0282926646598111,-0.1077030532289,-0.0156077881128803,-0.0181699259119276,-0.0651944305924467,-0.0492484397694356
"2010-07-30",0.124433226451532,0.0398444314184885,0.0995610949689365,0.182228884675867,0.0832031244438052,-0.0819986893657492,0.0276533777079651,0.0693511873238297,0.06490531125528
"2010-08-31",-0.106854841669721,-0.0362919426224885,0.0139720563137748,-0.0980773084104164,-0.149226569122829,0.127355233775297,-0.0243623631469073,-0.129707131180341,-0.0147952500445887
"2010-09-30",0.0541760545938037,0.0894177050387943,0.0551777005400869,0.181646190568783,0.0666667085118149,0.0682450613356529,0.00502772110981375,0.0418060665547975,0.0674112875640447
"2010-10-29",-0.00890140393718375,0.0705233843124839,0.0478468548656881,0.0832665948895388,0.0374203643983002,0.0394031881617611,0.0681791394132747,0.119333941547444,0.0121449441028298
"2010-11-30",0.0424505851230783,-0.0105248812277839,0.0372887267294657,-0.00465020974278851,0.0461430951204227,0.013240362369338,-0.039326739965625,-0.0173553783030082,-0.00147678613773439
"2010-12-31",-0.00694129218950101,0.0374663272411007,0.041158731935605,-0.0108087483513563,0.13891953493346,-0.0441540326907308,0.0533814156222274,0.136236470773784,0.00255606755302074
"2011-01-31",0.0148741578975327,0.103843050321652,-0.0443971134369739,0.106631495273633,0.0461438515489045,0.0627428425023124,-0.0113787619346419,0.00111238688117776,0.0396810600534665
"2011-02-28",0.00437985675390817,0.00321568087601509,0.0170246699207872,0.0902396343353753,-0.00344518791062109,0.0747461631617106,-0.00126724901536246,0.0270370002301508,-0.0729445455212221
"2011-03-31",0.0374110852608414,0.00735113368081008,0.0453851873896987,0.0630094015892884,-0.0148562597209922,0.0773592017800377,-0.0229976473273111,-0.0424259260322942,0.00836526751334343
"2011-04-29",0.09016102223995,0.0460538082320703,0.0168827702063192,0.154231783429163,-0.0819930017879724,0.0301718388452383,0.0623089298948118,-0.0230798593443987,0.0562920292047242
"2011-05-31",0.0513446864165585,-0.00524419048700886,-0.00963536098123985,0.0233973079888172,-0.0214415877834464,-0.0458620976665727,0.0323574502912141,-0.00852050902955648,0.011010624539971
"2011-06-30",0.00557116944685854,0.0155094453061857,0.0144762867191826,-0.0390879641684549,-0.0109270639182711,0.0304580116379292,-0.051194032319081,0.00157991388209111,-0.0376675500052773
"2011-07-29",-0.0321083242137741,0.060040819588917,0.0106999616034875,-0.0714471618569025,-0.00427652261878608,-0.035446253319478,-0.0247956249707001,0.0215601574810096,-0.00809183088155518
"2011-08-31",-0.00659475662512443,-0.0505437880383873,0.0358769873930334,-0.130343393443407,-0.0617128745695982,-0.119224299736653,0.0356155068916919,-0.109363022458622,0.0164065194005281
"2011-09-30",-0.096761164041508,0.0172182619572621,-0.0344812891606355,-0.0123256570624644,-0.0758620716315906,-0.14827403782892,-0.00785174142034273,0.0195125929248317,-0.0242526370730061
"2011-10-31",0.132086188951543,0.055812949708582,0.0112492975545146,0.165517275784179,0.0742122212738867,0.116961899376477,0.0210778627048593,0.08708580332553,0.0928708965140945
"2011-11-30",-0.0509679573804734,0.0223460119119687,-0.00880588291327145,-0.0180161733009402,0.00292905355895257,0.0882857142857143,0.00906387901994066,0.0128956610611222,0.0384344313431453
"2011-12-30",-0.018109966244851,-0.0219148634559544,0.0407555591645117,-0.0296744156614652,0.0657385638262074,-0.00485694407981119,0.0331423228920029,0.0483942128858024,0.0209405426384859
"2012-01-31",0.0669325537094132,0.0474222320239612,-0.0348720949304945,0.10540377302587,0.0598693431375841,0.0791452335877914,-0.0474669715726105,0.0432532130008738,0.0267738103502904
"2012-02-29",0.0548464156263424,0.0254209142305886,0.0345032133794998,0.0413768513235175,0.0756274706638889,0.0579392020031586,0.0726523281753289,0.0418143220678442,-0.0371577452759804
"2012-03-30",0.0939686437568519,0.0605906485533834,0.0671629656335431,0.0903910129000125,0.0942999975356915,0.0418254631160966,-0.00606334915356432,0.0842227202861809,0.0428170967423975
"2012-04-30",0.0442154123608745,-0.00752452316196806,0.0312119779252931,-0.0273158552222659,-0.0210896710790603,-0.0176333152408411,-0.0451074157419988,0.0154671125416985,-0.0374183186619135
